cltv,dti,int_rt,fico_t_bin,def_flag
95,26,5.375,-0.271722053,0
39,50,4.375,1.309042613,0
78,44,6.125,1.309042613,0
53,29,5.875,-0.837983652,0
80,43,6.25,0.333144447,0
42,43,4.375,-0.837983652,0
75,33,4.875,-1.497569554,0
75,45,4.875,0.333144447,0
80,21,3.99,-0.837983652,0
35,27,6.25,-0.837983652,0
90,36,4,-0.271722053,0
80,999,5.75,-0.837983652,0
75,11,5.5,-1.497569554,0
66,34,5.5,-1.497569554,0
69,37,4.75,0.333144447,0
95,42,7,1.309042613,1
57,42,4,-0.271722053,0
53,21,5.875,-0.837983652,0
72,25,3.125,-1.497569554,0
76,43,6.5,-1.497569554,0
38,45,4.25,0.333144447,0
80,36,4.375,-0.837983652,0
52,44,3.75,0.333144447,0
89,30,4.75,-0.271722053,0
58,25,6,-0.271722053,0
85,52,7.5,1.309042613,1
85,48,4.375,-1.497569554,0
40,39,4.125,-0.837983652,0
80,45,4.25,-0.837983652,0
71,39,3.875,-1.497569554,0
80,32,3.5,-1.497569554,0
95,43,4.25,-0.271722053,0
66,14,5,-1.497569554,0
95,42,6.125,-0.271722053,0
95,56,6.625,-1.647589678,0
90,54,5.875,-0.271722053,0
94,40,5,-0.271722053,0
80,16,3.375,-0.271722053,0
73,39,5.125,-1.497569554,0
75,37,3.125,-1.497569554,0
80,33,4.875,0.333144447,0
47,42,5.25,-1.497569554,0
95,40,7,-1.647589678,0
85,36,5.125,-0.271722053,0
80,44,3.875,1.309042613,0
95,35,4.625,-0.271722053,0
80,43,7.75,1.309042613,1
60,40,4,-0.271722053,0
39,49,3,-0.271722053,0
90,15,5.625,-1.497569554,0
80,31,4.625,1.309042613,0
100,34,6.625,1.309042613,0
80,41,6,-0.271722053,0
66,34,5.75,-0.837983652,0
94,40,6.125,0.333144447,1
60,56,6.875,1.309042613,1
90,48,6.25,0.333144447,0
80,34,5.625,-0.837983652,0
77,38,4.99,1.309042613,0
60,38,4.75,0.333144447,0
73,32,5.625,0.333144447,0
63,24,3.625,-1.647589678,0
20,32,5.875,-1.647589678,0
51,48,3.75,1.309042613,0
43,45,6.5,-1.497569554,0
80,13,5.875,-1.497569554,0
90,55,6,-1.497569554,0
80,41,6.375,-1.497569554,0
57,16,5.875,-0.271722053,0
90,41,4.875,-1.497569554,0
43,49,3.625,-0.837983652,0
77,30,4.375,0.333144447,0
95,20,6.125,-0.271722053,0
74,44,5,-1.647589678,0
80,35,4.75,-1.647589678,0
75,53,5.99,-0.837983652,0
80,20,6.375,0.333144447,0
95,25,4.625,-1.497569554,0
80,38,4.75,1.309042613,0
86,41,5.75,0.333144447,1
80,47,5.125,-0.837983652,0
80,39,5.25,1.309042613,0
69,36,3.625,-1.497569554,0
66,26,4,-1.497569554,0
90,36,6.375,0.333144447,0
38,45,4.25,0.333144447,0
92,42,4,-0.837983652,0
95,39,4.25,0.333144447,0
67,27,3.875,-1.647589678,0
80,48,4.125,0.333144447,0
59,18,4.75,-0.837983652,0
80,18,4.875,-0.837983652,0
90,48,6.5,0.333144447,1
43,34,5.625,1.309042613,0
90,33,5.125,-0.271722053,0
90,35,7.75,1.309042613,0
16,45,3.75,-1.497569554,0
24,25,4.75,-0.837983652,0
95,40,2.875,-0.271722053,0
59,31,4.5,-0.271722053,0
73,48,6.625,1.309042613,1
80,34,3,-1.647589678,0
51,43,4.375,1.309042613,0
50,9,5.375,-1.647589678,0
79,50,4.75,-1.497569554,0
74,44,4.75,-0.271722053,0
80,26,2.75,-0.271722053,0
15,23,4.875,-1.647589678,0
74,25,5.625,-0.271722053,0
33,26,6.125,-1.497569554,0
60,19,5.25,1.309042613,0
80,18,4.125,1.309042613,0
60,23,4.75,-1.647589678,0
75,62,6.5,0.333144447,1
88,42,4.125,-0.271722053,0
80,25,4.875,-1.497569554,0
76,22,2.5,-1.647589678,0
72,51,7.375,0.333144447,1
50,20,4.875,-1.647589678,0
65,27,4.875,-1.497569554,0
77,54,5,0.333144447,0
68,51,5.375,-1.497569554,0
80,31,6.125,-0.271722053,0
63,51,6.875,-0.837983652,0
90,41,4.375,-0.271722053,0
66,43,5.625,-0.837983652,0
80,37,4.5,-1.497569554,0
52,37,6.625,1.309042613,0
73,27,4.625,-0.837983652,0
80,47,4.125,-1.647589678,0
95,36,6.375,1.309042613,0
82,56,6,-1.647589678,0
53,31,5.125,-1.497569554,0
41,30,4.875,-0.837983652,0
75,48,4.5,0.333144447,0
72,43,4,-1.647589678,0
16,26,3.875,0.333144447,0
48,39,2.875,-1.497569554,0
70,26,4.375,-1.647589678,0
80,17,4.125,1.309042613,0
89,44,4.375,-0.271722053,0
39,10,4.375,-1.647589678,0
100,39,7,-0.271722053,0
75,29,4,-0.837983652,0
79,42,5.875,-0.837983652,0
55,38,3,-1.497569554,0
77,19,5.5,-1.497569554,0
15,23,4.875,-1.647589678,0
80,12,4.875,0.333144447,0
69,39,4.875,1.309042613,0
38,52,6.375,-0.837983652,0
80,26,6.375,-1.647589678,0
80,35,4.25,-1.647589678,0
60,29,7.375,1.309042613,0
100,40,6.25,0.333144447,1
85,35,5.125,0.333144447,0
75,26,4.375,-0.837983652,0
92,35,4.25,-0.837983652,0
70,44,4.625,-1.497569554,0
80,44,5.375,-0.837983652,0
64,29,2.99,-1.647589678,0
32,23,4.125,-1.647589678,0
80,39,5.5,0.333144447,0
85,27,4.125,-0.837983652,0
85,35,2.875,-0.271722053,0
68,17,4.25,-1.497569554,0
77,38,5.25,-0.271722053,0
70,38,5.875,-1.497569554,0
80,40,6.375,1.309042613,0
90,24,6.75,-0.271722053,0
58,32,4.625,0.333144447,0
57,28,3.25,-1.647589678,0
90,25,4.375,-0.271722053,0
80,43,5.375,0.333144447,0
80,14,3.875,1.309042613,0
89,45,5.25,-0.271722053,0
28,38,5.375,0.333144447,0
95,32,6.125,-0.837983652,0
95,34,4.875,1.309042613,0
38,48,6.5,-1.497569554,0
80,42,5,-0.837983652,0
75,19,7,-0.271722053,1
80,36,5.25,1.309042613,0
95,33,4.625,1.309042613,0
80,999,6.125,0.333144447,0
61,35,4.75,-1.647589678,0
65,41,6.375,-0.271722053,0
90,26,4.875,1.309042613,1
67,38,4.25,-1.647589678,0
95,23,5.625,-0.271722053,1
90,31,3.625,-0.837983652,0
77,46,4.75,-1.497569554,0
90,31,3.625,-1.647589678,0
80,33,4.5,-1.647589678,0
84,16,2.75,-1.497569554,0
80,21,4.125,-0.837983652,0
80,21,4.875,-1.647589678,0
25,43,4.5,0.333144447,0
57,20,4.5,-1.647589678,0
70,49,4.36,0.333144447,0
52,34,5,-1.497569554,0
59,20,4.75,-1.647589678,0
73,42,4.375,-1.647589678,0
70,39,5,-1.647589678,0
95,29,4.375,-1.647589678,0
52,42,4.125,-1.497569554,0
43,45,4.375,0.333144447,0
95,30,4.125,-0.837983652,0
88,35,6.25,1.309042613,0
80,31,5.6,-0.837983652,0
88,41,5.625,1.309042613,0
25,50,4.375,0.333144447,1
70,53,5.625,-0.837983652,0
75,36,4,-1.497569554,0
62,29,4.25,-0.271722053,0
59,58,5.125,-1.647589678,1
71,32,4,-0.837983652,0
53,33,4.125,-0.271722053,0
80,42,6.125,1.309042613,0
57,49,4.75,-0.837983652,0
59,37,4,-1.647589678,0
39,17,5.375,-1.497569554,0
95,38,4.375,0.333144447,0
55,41,3.625,-1.497569554,0
53,13,5,-0.837983652,0
69,55,5.625,-1.497569554,0
90,39,4.375,-1.497569554,0
67,59,5.875,0.333144447,1
90,58,7.125,-1.647589678,1
89,29,4.25,-1.497569554,0
79,35,4.125,-0.837983652,0
80,45,4.875,-1.497569554,0
85,33,5.875,-1.497569554,0
47,46,5.625,1.309042613,0
82,25,4.75,-0.837983652,0
90,46,6.25,0.333144447,0
95,43,4.25,-0.271722053,0
75,36,4.99,1.309042613,0
66,22,5.75,-0.271722053,0
95,27,2.75,-1.497569554,0
80,16,5,-1.497569554,0
70,34,2.75,-1.497569554,0
54,52,7.625,0.333144447,1
45,23,4.125,-1.647589678,0
84,37,4.875,-0.271722053,0
44,9,6.875,-0.271722053,0
24,18,3.625,-1.647589678,0
78,26,4.5,-1.497569554,0
62,10,5.5,1.309042613,0
95,45,6.25,1.309042613,1
57,41,4,0.333144447,0
76,38,7.5,0.333144447,0
80,30,3.875,-1.647589678,0
64,30,3.875,-1.497569554,0
77,14,4.75,-1.497569554,0
72,21,4.125,-0.837983652,0
80,43,3.625,0.333144447,0
85,38,4.625,-0.271722053,0
48,35,6.75,1.309042613,0
100,42,6.5,1.309042613,1
69,39,4.875,1.309042613,0
90,42,6.375,1.309042613,0
95,51,6.5,-0.271722053,0
80,34,4.5,0.333144447,0
55,27,3.875,-1.647589678,0
80,32,5.25,-1.497569554,0
79,17,6.375,-1.647589678,0
76,20,3.875,-1.497569554,0
74,39,7.5,1.309042613,1
64,55,5.25,-1.497569554,0
80,17,6.875,0.333144447,0
70,56,6.5,1.309042613,0
78,34,5.999,-0.271722053,0
95,46,6.375,1.309042613,0
90,37,5.75,-1.497569554,0
86,22,4,-0.837983652,0
80,53,5.375,-0.837983652,0
80,19,4.125,-0.271722053,0
80,45,4.875,-1.497569554,0
65,11,6,1.309042613,1
80,23,5.25,-1.497569554,0
75,25,4.125,-1.497569554,0
56,23,3.5,-1.497569554,0
80,16,4.875,-0.837983652,0
40,48,3.25,-1.497569554,0
26,50,6.5,0.333144447,0
61,40,4.25,-1.497569554,0
80,25,5.25,1.309042613,0
80,30,6.25,-0.837983652,0
65,44,2.99,-1.497569554,0
89,29,6.125,1.309042613,0
80,23,4.375,0.333144447,0
53,34,4.25,-1.497569554,0
62,30,5,-1.647589678,0
90,37,6,0.333144447,0
54,42,5.625,-0.271722053,0
55,17,4.375,-1.647589678,0
80,27,3.625,-1.497569554,0
74,28,4.865,-1.497569554,0
89,41,5.25,-0.837983652,0
72,32,4.875,-1.647589678,0
75,33,3.125,-1.497569554,0
60,38,4.875,1.309042613,0
76,21,3.125,-1.647589678,0
57,21,5,-0.271722053,0
70,24,5.125,-0.271722053,0
48,37,4.25,-1.647589678,0
61,36,5.25,-0.271722053,0
80,32,5.875,1.309042613,0
80,26,4.75,-1.647589678,0
66,20,3.375,-1.647589678,0
34,43,5.125,0.333144447,0
62,46,6.5,1.309042613,1
80,29,5.75,-1.647589678,1
65,39,3.75,-1.497569554,0
75,43,4.875,-0.271722053,0
80,30,4.25,-0.271722053,0
80,29,6.125,-1.647589678,0
80,13,4.5,-1.497569554,0
90,23,5,-0.271722053,0
79,35,4.25,-0.271722053,0
80,26,2.875,-1.497569554,0
55,28,4.875,-0.271722053,0
90,40,3.375,-1.647589678,0
80,40,6,-0.837983652,0
43,22,4.3,-0.271722053,0
14,59,6.75,-0.271722053,0
95,38,5,0.333144447,0
56,22,3.875,-0.837983652,0
54,31,4.375,-0.271722053,0
100,26,6.25,-1.497569554,1
75,43,5.5,1.309042613,0
95,34,6.125,1.309042613,0
80,37,5,1.309042613,0
86,44,6.375,1.309042613,0
80,16,4.5,1.309042613,0
64,26,4.75,-1.647589678,0
72,45,6.5,1.309042613,1
89,27,7,1.309042613,0
69,23,5.75,-1.647589678,0
34,10,4.5,-1.647589678,0
60,38,4.875,1.309042613,0
90,27,4.625,0.333144447,0
90,31,3.625,-0.837983652,0
67,24,3.5,-1.497569554,0
69,23,4,-0.271722053,0
80,38,5.875,1.309042613,1
80,32,5.125,1.309042613,0
73,32,6.25,-0.837983652,1
65,25,6.5,-1.497569554,0
73,25,3.625,-1.497569554,0
70,28,4.875,-1.497569554,0
93,43,3.5,-0.271722053,0
90,26,4.25,-0.271722053,0
80,52,6,-0.271722053,0
80,42,3,1.309042613,0
94,37,4.625,1.309042613,0
45,23,3.625,-0.837983652,0
47,48,4.625,0.333144447,0
22,39,3.75,-1.647589678,0
75,48,7.25,1.309042613,1
61,31,5.5,1.309042613,1
72,34,3.25,-0.271722053,0
80,20,5,-1.647589678,0
55,26,3.625,0.333144447,0
79,30,4.865,-1.497569554,0
55,29,5.25,-0.271722053,0
59,19,5.375,0.333144447,0
95,55,6,1.309042613,0
64,45,4.99,1.309042613,0
77,55,6.125,0.333144447,1
80,29,7,1.309042613,0
80,34,4,-1.497569554,0
80,38,5.375,-1.647589678,0
80,37,5.25,-0.271722053,0
55,24,4.75,-0.837983652,0
75,21,3.8,-0.837983652,0
90,24,4.375,-0.837983652,0
55,31,4.625,-1.647589678,0
62,27,3.875,-0.271722053,0
80,42,4,-1.647589678,0
90,39,4.625,-1.497569554,0
75,43,4.5,-0.837983652,0
80,48,6.125,-0.837983652,0
88,39,6,1.309042613,0
90,43,3.25,1.309042613,0
80,38,7,1.309042613,1
56,45,4.25,0.333144447,0
80,44,4.125,-0.271722053,0
83,37,3.45,-0.837983652,0
88,28,6.5,1.309042613,0
39,32,4.25,-0.271722053,0
80,27,4.875,-0.271722053,0
67,30,3.75,-0.271722053,0
55,43,6.625,1.309042613,1
72,45,3.875,0.333144447,0
71,32,4.375,-1.497569554,1
59,3,6,-0.837983652,0
90,30,5.125,-1.647589678,0
54,27,3.875,1.309042613,0
71,24,6.5,-1.647589678,0
80,50,4.75,-1.647589678,0
25,18,6.25,1.309042613,0
80,36,4,0.333144447,0
73,52,4.375,-1.497569554,0
95,31,6.25,-1.497569554,1
90,48,6.25,0.333144447,0
59,10,5.25,-0.837983652,0
80,36,4.875,-1.497569554,0
80,30,5.375,-1.647589678,0
52,40,6.625,1.309042613,0
80,42,4.75,0.333144447,0
70,57,6.125,0.333144447,0
50,29,4.75,-1.497569554,0
95,20,5.5,-0.837983652,0
75,35,4.625,-0.837983652,0
77,22,5.5,-1.647589678,0
95,41,5,-0.271722053,1
81,48,4.75,0.333144447,0
47,31,5.125,-0.271722053,0
80,31,5.25,-1.497569554,0
30,15,5.125,1.309042613,0
90,46,6.875,1.309042613,0
90,58,6.875,1.309042613,1
70,49,5.375,-0.837983652,0
67,38,3.875,-0.837983652,0
58,24,4.25,-1.497569554,0
64,38,4,-0.271722053,0
79,21,4.125,0.333144447,0
31,65,6,0.333144447,0
92,58,6.25,0.333144447,0
75,50,6.25,-0.271722053,1
100,45,5.625,-0.837983652,0
86,39,5.875,-0.837983652,0
95,40,5.125,0.333144447,0
89,26,4,-1.647589678,0
85,26,5.5,-0.271722053,0
79,31,5.25,0.333144447,1
53,60,6.875,-1.497569554,0
87,31,2.75,-1.497569554,0
79,49,6.375,-0.837983652,1
63,35,4.125,-0.271722053,0
80,22,4.375,-0.837983652,0
65,45,3.125,-1.497569554,0
75,43,6.625,-0.837983652,0
76,24,3.875,-0.837983652,0
83,53,6.5,1.309042613,1
72,41,3.75,1.309042613,0
69,41,5.5,0.333144447,0
73,35,4.5,0.333144447,0
68,20,3.625,-0.271722053,0
72,45,5.875,-0.271722053,0
55,48,6,0.333144447,1
90,47,6,1.309042613,1
75,37,7,-0.271722053,0
80,43,6.125,1.309042613,0
85,24,5.625,-0.271722053,1
70,32,7,0.333144447,1
95,25,6.25,1.309042613,0
24,40,4.125,-0.271722053,0
78,35,5.25,-1.497569554,0
80,44,5.875,0.333144447,0
68,64,6.375,1.309042613,0
80,46,5.25,0.333144447,0
63,45,4.5,-0.271722053,0
90,39,6.5,1.309042613,1
71,42,3.625,-1.647589678,0
92,36,3.875,-0.837983652,0
34,13,3.75,-1.497569554,0
65,17,5.125,-0.271722053,0
74,9,5.25,-1.647589678,0
95,31,4.25,0.333144447,0
95,22,4.625,1.309042613,0
77,46,5.25,-0.271722053,0
55,46,4.875,-0.837983652,0
65,999,6.5,1.309042613,0
80,42,3.875,-0.837983652,0
80,23,3.625,-0.837983652,0
95,40,6.5,1.309042613,1
41,28,6.875,1.309042613,1
80,38,2.875,-0.837983652,0
66,35,3.25,-1.497569554,0
73,29,5.5,1.309042613,0
66,45,4.875,0.333144447,0
73,47,4.375,-1.647589678,0
67,20,3.5,1.309042613,0
100,32,6.875,1.309042613,0
72,17,6.25,-1.647589678,0
79,28,3.75,-1.647589678,0
67,26,5.125,-1.647589678,0
76,48,3.875,-0.837983652,0
60,24,4.25,-0.271722053,0
59,22,5.75,-1.647589678,0
70,34,4.25,-0.271722053,0
79,36,4.875,-1.497569554,0
65,15,5,-1.647589678,0
78,45,4.75,1.309042613,0
37,26,6.375,1.309042613,0
59,37,4.875,-1.647589678,0
37,32,3.125,-1.497569554,0
95,45,4.375,-0.271722053,0
90,39,6.875,0.333144447,0
95,29,3.99,-1.497569554,0
72,29,3.5,-1.497569554,0
68,41,4.875,-0.271722053,0
68,47,5.375,0.333144447,0
54,43,3.5,0.333144447,0
62,29,3.625,-0.837983652,0
37,39,5.75,-0.837983652,0
95,35,3.875,-1.647589678,0
82,28,3,-0.271722053,0
95,40,4.25,-0.271722053,0
70,48,6.25,-0.271722053,1
65,41,5.125,-1.647589678,0
95,9,5.875,-1.647589678,1
56,58,4.875,-1.647589678,0
75,22,3.75,-0.837983652,0
75,28,5.25,-1.497569554,0
47,19,3.75,-0.271722053,0
79,50,3.375,-0.271722053,0
74,35,5.625,1.309042613,0
70,13,4.5,0.333144447,0
90,31,6.375,0.333144447,1
74,39,4.625,-0.271722053,0
72,45,4.375,-0.271722053,0
79,29,3.5,-0.837983652,0
90,33,5.375,-0.271722053,0
80,25,5.75,1.309042613,0
