 TOT_TRANS,NO_HIGH_RISK_TXN,NO_OF_ACCOUNTS,TVHR_TRAN_AMT,CUSTOMER_RISK_LEVEL,ALERT_STATUS
61,9,5,4444068,7,0
129,11,6,1294592,9,0
129,1,8,5449836,6,0
59,5,8,10029279,9,0
85,15,13,6687432,3,0
36,6,2,6246505,10,0
95,13,19,11857670,7,0
99,11,5,1688497,6,0
121,15,13,8384995,1,0
85,12,13,10927734,2,0
96,1,7,4633785,5,0
116,4,9,4883695,7,0
25,6,3,6791109,8,0
150,1,19,6854187,2,0
50,8,10,3387623,6,0
39,10,19,1304645,7,0
66,3,10,10284459,7,0
89,12,17,11989145,3,0
130,10,9,770177,5,0
68,4,16,741675,5,0
149,13,3,10066246,6,0
107,4,16,224733,7,0
101,6,13,4869377,9,0
141,2,11,6002429,6,0
146,9,2,10259122,10,0
75,12,5,9997614,9,0
133,3,7,79111,7,0
139,9,17,5970876,2,0
141,3,3,6212163,7,0
109,9,2,4845067,8,0
96,4,13,3586128,10,0
144,7,8,10255946,1,0
94,4,13,11593007,7,0
115,9,20,3632125,6,0
35,8,9,2601904,9,0
105,13,18,41350,1,0
35,13,6,7934382,5,0
42,8,7,7232434,6,0
99,4,18,11176600,7,0
50,8,10,733714,4,0
31,15,19,9427445,6,0
100,4,4,6007956,8,0
141,10,2,11932180,6,0
77,8,4,3496785,3,0
65,2,4,9007972,9,0
49,0,14,0,5,0
83,12,7,9453133,9,0
127,4,3,1440932,1,0
85,3,11,7248607,4,0
65,9,11,3783911,1,0
80,12,9,9008954,2,0
76,13,11,304988,5,0
27,2,4,8896890,6,0
142,6,20,5125649,3,0
102,10,5,9397590,8,0
110,4,6,9403361,1,0
110,5,5,7965768,9,0
105,10,6,10696506,8,0
94,13,19,3725973,2,0
145,12,1,3823866,2,0
62,12,17,1583341,8,0
70,13,11,10943488,8,0
26,12,20,7506745,2,0
83,1,11,4895724,6,0
123,14,14,7395434,3,0
117,3,5,4885489,3,0
35,5,12,3610834,10,0
72,15,19,5978350,7,0
108,2,8,3403127,2,0
83,5,16,3613907,5,0
52,1,18,3519041,9,0
112,13,15,10222036,10,0
86,13,17,6399742,3,0
27,9,13,6218548,4,0
93,2,4,1926932,6,0
67,1,15,9895679,2,0
150,0,9,0,8,0
124,12,3,9141832,9,0
92,15,12,6130148,4,0
96,8,9,3580940,8,0
126,5,10,10258529,6,0
130,3,12,11885247,6,0
142,12,5,4216631,9,0
109,5,20,11155244,7,0
72,8,3,10323096,1,0
104,10,16,7346718,9,0
81,13,15,11743308,2,0
132,11,9,1160850,10,0
37,9,20,10570661,3,0
69,7,10,6970387,2,0
43,3,5,4728235,2,0
82,13,18,2503819,5,0
137,10,3,7991805,1,0
106,8,12,10906484,2,0
64,14,5,6725887,6,0
52,12,14,6351843,9,0
77,6,10,6397310,5,0
97,5,2,6732485,6,0
50,9,5,4316838,3,0
119,8,20,4590447,8,0
115,10,13,10899820,4,0
120,14,15,11946906,7,0
71,13,15,11947916,10,0
66,15,9,6587454,3,0
95,4,11,4889552,8,0
90,7,12,1038487,8,0
133,6,4,10250340,5,0
33,8,19,3751120,6,0
70,6,7,3354872,3,0
67,12,8,10538403,9,0
41,12,20,4824402,6,0
145,9,6,8028849,6,0
57,12,20,3099756,3,0
147,10,9,53953,4,0
147,3,2,9426446,1,0
64,6,4,7816302,7,0
147,5,12,3514482,9,0
113,4,15,10985158,1,0
45,7,5,1679123,1,0
126,1,9,1286398,1,0
140,4,19,11743615,7,0
137,4,3,8861933,9,0
102,15,7,7243469,5,0
101,14,2,10706166,2,0
66,7,6,4430439,10,0
26,14,14,2752170,6,0
27,14,17,6737250,6,0
89,14,17,2614716,8,0
36,14,13,743988,2,0
89,6,15,8826927,6,0
150,8,15,8747673,2,0
133,13,16,273136,6,0
120,7,8,8578073,10,0
59,3,15,8207849,4,0
60,12,18,3057928,4,0
87,12,13,4726877,9,0
133,12,20,11991235,7,0
46,8,3,2605446,9,0
97,12,12,5970223,7,0
131,9,14,8319188,10,0
39,14,6,1441839,8,0
57,13,18,6953222,2,0
102,2,19,3796894,8,0
96,8,1,7477909,1,0
33,2,11,10541722,4,0
147,4,8,2559610,3,0
147,5,17,6136598,3,0
76,8,1,3314035,8,0
33,15,11,4496574,4,0
137,11,18,4823117,6,0
133,1,1,10920610,3,0
108,13,1,2613308,1,0
71,3,18,3330347,7,0
40,15,17,3831539,1,0
25,6,11,10497603,2,0
65,8,8,11837415,2,0
101,3,17,1240883,3,0
34,3,20,4314941,10,0
119,12,16,6732305,8,0
61,12,17,10914198,9,0
59,0,12,0,5,0
59,1,3,9306945,5,0
62,11,19,11901903,7,0
80,10,7,4917548,8,0
112,10,4,11504599,1,0
48,10,9,8227582,8,0
125,11,1,3601928,7,0
138,3,15,5379821,8,0
52,12,20,10033047,4,0
84,6,2,2849893,10,0
97,7,15,2014882,1,0
148,12,19,9173709,7,0
106,14,8,2500443,10,0
51,6,2,6725743,7,0
50,13,4,1109732,2,0
140,3,11,9402153,9,0
128,7,6,9050985,8,0
57,1,6,7967807,6,0
80,10,1,3513362,8,0
128,10,13,4442433,9,0
127,8,2,11946696,5,0
120,13,13,63960,8,0
115,15,4,8324265,4,0
40,0,2,0,1,0
37,8,8,1457533,9,0
112,13,5,3911427,7,0
120,2,2,5769218,6,0
38,8,1,7249284,4,0
147,4,17,1649913,1,0
97,15,19,8317235,4,0
113,4,16,11154997,8,0
29,7,18,9331274,7,0
30,10,5,3597507,2,0
33,0,8,0,7,0
132,2,5,10656003,7,0
39,11,14,3217869,9,0
73,4,12,7007362,8,0
128,6,8,11181863,8,0
86,13,16,11161785,5,0
64,8,9,10709886,1,0
39,6,11,7514384,7,0
99,2,17,2569439,5,0
78,4,8,3130195,9,0
143,0,12,0,6,0
71,1,1,2537029,2,0
149,10,19,11189184,8,0
128,2,20,8341885,10,0
64,13,18,10696727,4,0
57,12,2,286999,7,0
132,2,6,5382042,8,0
65,5,20,11879635,10,0
150,7,19,10480846,5,0
110,11,6,3296493,6,0
138,2,19,8302291,1,0
41,11,7,3622139,9,0
34,13,14,265228,7,0
27,9,12,5777449,6,0
66,13,11,1585593,3,0
77,8,19,2322825,9,0
32,14,4,7260971,10,0
141,13,16,3569906,8,0
98,11,20,3388134,7,0
82,10,18,8339232,2,0
54,3,5,3199550,9,0
146,1,4,5311291,1,0
129,1,4,289453,3,0
39,7,18,5766944,6,0
61,14,11,3373624,1,0
43,0,7,0,3,0
50,6,13,6855316,7,0
110,12,3,7984389,2,0
136,5,16,8929256,9,0
61,4,4,3561508,8,0
134,3,5,1531322,7,0
81,14,13,5833921,1,0
32,14,9,7543567,9,0
54,1,15,3757265,7,0
116,6,11,9008033,3,0
90,12,12,8348084,1,0
71,9,9,6834682,7,0
138,14,15,3505585,7,0
91,15,8,6688401,7,0
30,11,17,6288221,4,0
105,3,11,10932848,9,0
77,14,3,6008565,2,0
96,6,10,3758158,9,0
29,2,9,4866848,7,0
68,5,18,10258483,9,0
44,8,13,3353733,5,0
57,14,3,9855850,1,0
25,8,3,4440849,8,0
67,2,10,10807635,10,0
127,13,16,10247184,3,0
147,4,15,4609895,4,0
109,3,16,5979529,1,0
147,10,1,2749888,5,0
78,10,4,8951275,1,0
51,6,19,5982773,3,0
80,12,18,5315939,6,0
54,12,13,5932754,9,0
150,2,14,8506469,7,0
122,0,11,0,9,0
30,9,3,3454488,4,0
88,4,6,7310204,10,0
140,4,1,8956125,5,0
71,3,18,3353402,6,0
52,2,7,3396733,1,0
135,5,16,7092204,5,0
82,13,10,7191825,5,0
76,4,5,8209697,1,0
65,11,19,4395047,6,0
54,14,16,4136209,7,0
42,0,1,0,8,0
107,1,6,8031382,5,0
137,13,3,5336260,8,0
137,3,14,11165538,6,0
131,15,7,6948244,2,0
126,8,14,1413438,7,0
112,6,10,5197561,4,0
118,7,19,11939320,1,0
29,12,4,4652256,10,0
60,11,9,11858588,7,0
111,13,6,10027041,6,0
80,10,20,6292240,6,0
97,12,10,6260328,6,0
48,8,12,9230499,3,0
56,7,7,8335762,3,0
32,5,18,7604047,7,0
50,1,12,2529347,4,0
111,13,9,11545649,10,0
128,2,12,1781381,4,0
97,9,8,8339826,6,0
69,14,18,4892461,10,0
40,12,10,5945428,9,0
58,7,10,6248445,10,0
73,2,15,2525630,2,0
55,12,8,7465550,3,0
41,6,3,4400292,2,0
117,15,20,4816668,9,0
61,2,16,8210793,7,0
128,13,1,432373,2,0
119,2,6,5079340,3,0
46,2,17,1055077,1,0
68,7,19,7309260,1,0
49,14,11,6844616,10,0
76,2,19,3759419,9,0
125,4,11,11922888,1,0
64,14,10,4194340,4,0
27,4,18,285516,3,0
116,3,1,3928850,9,0
146,13,11,3772990,6,0
96,3,14,3316647,2,0
121,7,6,7606263,2,0
76,10,2,5394652,5,0
123,15,18,2011082,8,0
120,2,2,11884211,4,0
68,2,4,597777,3,0
44,0,20,0,6,0
76,6,10,6006828,7,0
132,2,12,6312915,8,0
119,2,7,3539406,6,0
32,0,18,0,1,0
49,6,19,4372641,5,0
107,0,2,0,5,0
32,15,9,3808047,5,0
90,1,5,11465575,8,0
125,7,3,10708283,6,0
91,10,7,8909534,9,0
123,13,7,3313620,3,0
121,11,18,4527183,8,0
113,8,8,10269132,1,0
73,12,14,2883517,2,0
138,14,2,1754103,5,0
106,2,9,8013967,8,0
103,1,8,1040628,9,0
69,4,12,1764430,6,0
144,10,16,10696942,4,0
98,10,11,9204310,4,0
94,5,10,10321410,6,0
121,0,10,0,4,0
104,14,20,4967905,4,0
122,15,7,5334664,10,0
101,3,19,11866494,7,0
146,4,12,5749112,9,0
103,7,17,10809462,6,0
127,0,11,0,1,0
120,10,19,5739711,2,0
58,7,5,3208543,5,0
147,15,18,5793427,6,0
51,15,13,3836704,5,0
112,11,6,1937116,4,0
54,3,5,9982685,6,0
28,2,17,8644255,5,0
53,8,1,1416243,6,0
149,4,3,1910913,10,0
125,3,7,10001802,10,0
49,10,2,4218527,2,0
121,14,16,6724523,9,0
44,0,17,0,1,0
126,8,9,3931853,8,0
35,8,1,3296404,3,0
138,2,2,11882859,6,0
130,12,16,8338302,5,0
88,13,13,1934501,5,0
134,9,7,4731742,9,0
128,3,20,842346,5,0
120,15,8,7003808,5,0
28,4,17,5335825,3,0
37,4,3,55708,10,0
25,8,6,3228785,6,0
40,10,6,3386487,7,0
28,3,11,10495638,7,0
96,8,20,8761205,2,0
98,10,12,9092565,2,0
54,4,7,6736106,5,0
63,11,19,11441245,4,0
26,6,17,2553748,3,0
39,12,8,8004788,6,0
91,13,2,3609490,1,0
53,2,15,5731088,7,0
140,8,18,9549333,7,0
145,4,15,8235287,10,0
35,12,16,7633916,6,0
64,9,20,9440939,7,0
113,3,13,8959385,9,0
36,0,17,0,3,0
72,7,17,5937574,2,0
81,7,12,10300531,3,0
127,2,14,5939212,5,0
72,2,14,5400046,5,0
44,13,18,7858244,5,0
72,6,17,7276340,10,0
55,9,14,10322792,5,0
32,15,2,6292142,6,0
108,3,9,10657361,4,0
142,11,6,1763094,8,0
93,8,15,4100263,1,0
93,7,5,3534375,1,0
108,5,10,3142782,9,0
131,8,18,5357826,4,0
110,9,16,56328,10,0
111,15,15,6161438,10,0
74,15,20,7983294,4,0
90,13,6,2562100,4,0
112,11,16,4407569,3,0
119,5,17,5421494,5,0
47,9,13,10258920,1,0
53,6,12,4527910,1,0
136,2,19,5778855,8,0
110,6,1,3094503,2,0
110,6,5,6719939,3,0
100,0,14,0,3,0
94,10,12,6285558,4,0
56,5,16,6686293,8,0
138,6,1,9051626,6,0
71,10,14,1752233,7,0
26,8,1,9179037,7,0
114,2,12,10030998,8,0
45,2,3,7236742,8,0
98,8,11,8579928,3,0
69,10,11,7940142,8,0
80,3,10,11583544,3,0
132,8,9,5870892,6,0
87,10,12,3312706,1,0
41,6,13,6284259,4,0
104,11,15,1416095,7,0
44,1,11,2566070,2,0
64,8,20,8920754,4,0
89,14,9,3528407,3,0
33,6,17,1647393,3,0
105,12,9,5999359,7,0
35,0,4,0,7,0
147,0,1,0,2,0
147,2,9,8014208,10,0
39,13,18,6246455,4,0
148,10,3,5775001,10,0
106,0,2,0,6,0
102,1,15,6352614,3,0
52,7,4,10904847,5,0
84,9,17,9167532,4,0
136,9,19,5195467,3,0
106,5,7,6941242,4,0
149,0,12,0,7,0
40,5,2,5783179,3,0
70,15,10,3225846,10,0
67,3,10,10493467,9,0
28,6,12,1413078,4,0
136,2,3,6328849,6,0
30,2,5,4847235,9,0
65,0,8,0,6,0
116,5,18,11177315,2,0
89,5,3,10372276,5,0
88,6,19,1311707,8,0
132,4,13,5137973,3,0
37,10,16,2600635,10,0
149,2,20,3544286,8,0
81,0,11,0,4,0
118,0,10,0,5,0
93,13,13,2553340,6,0
100,8,11,5400168,7,0
65,2,16,11873408,10,0
149,12,11,3035307,8,0
77,15,10,8894548,9,0
55,13,17,5355726,6,0
87,12,15,8315074,2,0
137,7,20,3429860,1,0
130,0,5,0,2,0
45,8,4,9168187,10,0
133,3,14,7859383,5,0
84,9,15,11858499,7,0
45,15,19,3429613,9,0
146,4,18,7095043,6,0
40,8,17,4187943,2,0
133,2,1,9551424,1,0
130,4,18,10287135,5,0
70,5,18,3329842,1,0
131,15,15,11560412,1,0
63,7,4,9183936,2,0
134,11,3,3103424,4,0
63,5,18,11838286,6,0
82,14,6,3839291,1,0
44,3,1,3109603,7,0
123,7,14,6814425,7,0
72,6,20,4209479,4,0
35,9,20,285102,9,0
74,8,10,4032547,3,0
127,7,10,3566730,8,0
53,1,20,9009361,2,0
132,6,18,11877725,10,0
79,4,11,1312312,9,0
39,12,9,7093586,7,0
89,5,13,4641348,5,0
45,12,5,6858822,4,0
138,8,11,6725243,5,0
102,13,8,11738261,10,0
45,1,18,1467045,2,0
74,6,20,11743060,4,0
33,1,15,6329551,6,0
121,12,10,6248630,7,0
40,14,16,5356239,3,0
67,9,13,1764941,7,0
42,14,4,3755241,6,0
122,5,8,300177,3,0
90,13,6,8927038,5,0
128,7,10,1873497,4,0
99,9,15,242486,8,0
122,1,20,4513301,9,0
112,14,14,2878939,7,0
47,3,9,2536784,4,0
82,9,5,58965,4,0
58,5,1,3529288,6,0
38,8,19,8384043,6,0
145,8,14,1584969,8,0
83,12,8,6681325,2,0
26,8,1,3806405,3,0
101,1,18,4343720,8,0
117,15,17,11613635,10,0
68,9,8,10350228,6,0
47,15,1,9434662,5,0
69,10,3,2606784,10,0
150,6,1,5081815,4,0
68,4,16,8190908,5,0
27,5,14,11644818,7,0
111,9,10,8001521,10,0
51,13,3,10245967,10,0
135,6,12,4436387,1,0
94,7,13,2613541,10,0
80,0,1,0,8,0
77,12,3,3801528,8,0
127,9,5,6857535,4,0
116,5,20,7950000,4,0
42,13,12,10041456,3,0
70,0,1,0,7,0
131,10,12,3823362,2,0
28,4,6,10230342,7,0
124,2,20,7212906,6,0
117,3,7,6941028,4,0
88,13,13,1090841,1,0
35,0,3,0,2,0
105,1,12,11210475,3,0
127,14,17,6920282,2,0
119,10,7,10174866,2,0
104,4,17,8750722,3,0
117,5,10,11181685,4,0
32,5,5,84505,5,0
97,0,18,0,9,0
104,0,16,0,6,0
138,13,2,1283354,10,0
145,13,14,7023351,8,0
76,8,7,10064293,1,0
25,7,11,6278066,2,0
66,7,20,739308,6,0
138,1,4,4754984,8,0
111,6,12,9421631,6,0
115,7,19,3547495,6,0
117,9,8,4097598,2,0
88,1,15,4637479,2,0
40,14,4,3556080,1,0
142,14,20,5017708,8,0
91,6,1,3622013,2,0
94,3,14,231408,9,0
90,3,5,2432220,3,0
115,2,20,9420618,6,0
103,0,1,0,5,0
114,14,11,5068178,8,0
128,1,1,3224204,4,0
82,8,2,8827232,9,0
81,14,18,7022015,2,0
134,14,1,4843979,4,0
103,1,2,2416366,1,0
26,0,4,0,10,0
148,14,20,1927873,4,0
40,11,12,11869141,9,0
120,1,5,10206203,2,0
142,3,20,3110338,9,0
49,10,16,2674885,7,0
139,9,10,6153369,9,0
38,5,18,6683719,1,0
133,1,14,3789505,5,0
130,2,10,3086700,7,0
38,10,20,3832109,10,0
29,10,11,9892214,8,0
129,11,9,7272727,2,0
138,14,16,9415326,7,0
146,2,15,5944540,8,0
118,4,15,4251198,7,0
72,10,18,3742104,9,0
135,7,17,10907668,9,0
148,5,4,3215934,5,0
118,13,10,2608944,4,0
98,11,3,6263563,1,0
41,8,8,2549873,1,0
122,0,3,0,7,0
93,3,11,7457832,3,0
100,1,10,7816609,7,0
78,0,13,0,3,0
83,12,12,1251503,6,0
71,5,20,4936347,5,0
108,0,3,0,2,0
74,7,6,3428087,10,0
35,15,13,5977373,6,0
147,5,13,3208143,2,0
149,2,11,5778676,4,0
71,2,5,535076,8,0
71,8,20,3520491,5,0
109,3,6,8272659,2,0
101,11,8,434060,1,0
118,15,5,4631848,2,0
65,7,16,6332555,7,0
58,8,7,11592032,6,0
52,5,3,2336058,7,0
146,10,12,8304477,8,0
122,5,19,10506534,8,0
111,5,3,3367417,9,0
88,7,3,599799,10,0
50,8,8,6956809,2,0
115,1,12,6110017,2,0
98,12,20,11858472,6,0
58,13,2,11179921,2,0
130,0,20,0,3,0
115,8,7,300966,9,0
149,1,11,6834022,6,0
55,12,8,11164081,3,0
114,5,11,5424850,1,0
52,9,3,6313264,8,0
138,2,13,4895170,1,0
43,6,19,8192216,8,0
120,8,19,3559652,10,0
49,13,17,5776181,5,0
73,3,17,1065486,3,0
85,11,11,1647945,7,0
55,14,6,2557737,3,0
114,4,3,11180115,10,0
65,4,10,3541449,2,0
44,2,17,4841788,1,0
28,11,20,9252609,8,0
100,13,18,4933970,8,0
48,7,5,1689040,6,0
115,11,5,10396051,5,0
88,0,20,0,2,0
76,1,9,10920063,10,0
75,1,7,8307348,7,0
65,15,7,11190883,9,0
93,15,2,6821804,7,0
83,0,16,0,4,0
68,13,1,7986288,5,0
104,1,8,264911,6,0
87,8,10,3625332,4,0
39,2,13,4640641,3,0
40,14,15,6790252,10,0
81,4,17,11542515,3,0
105,14,3,3219603,4,0
113,14,9,4494925,7,0
58,5,1,4994950,7,0
119,6,7,10655211,7,0
146,2,17,11546792,1,0
41,10,10,6821980,8,0
50,9,16,4867902,2,0
40,11,11,3618985,9,0
96,14,5,2007541,8,0
132,9,4,8233410,8,0
111,7,19,6443498,8,0
69,13,17,3349771,4,0
139,7,8,10518690,7,0
116,12,7,3211385,9,0
47,2,7,4628560,5,0
87,4,18,600207,3,0
95,2,7,5208403,1,0
87,13,19,256873,3,0
128,4,8,2238640,2,0
88,9,13,401944,10,0
70,15,15,1778327,6,0
45,7,15,6843239,2,0
114,2,16,1672212,9,0
65,1,10,4446923,7,0
49,5,11,3828469,3,0
143,4,17,6217710,10,0
70,11,14,2565381,5,0
126,8,19,3805106,4,0
117,4,6,1076343,9,0
52,13,4,9894129,9,0
55,7,10,1038593,7,0
99,5,18,9878359,4,0
57,5,19,3210860,4,0
102,8,19,3299539,8,0
80,10,10,7995937,5,0
138,3,19,3633284,4,0
69,2,1,9475196,9,0
121,4,15,3506286,5,0
121,10,11,3745905,5,0
36,1,14,8347537,5,0
122,14,15,3543378,1,0
145,4,12,2959848,10,0
47,11,1,11937948,7,0
50,5,18,10241612,7,0
115,15,2,594763,4,0
60,9,3,11952340,7,0
104,9,15,5390072,3,0
134,3,10,10213406,6,0
31,2,3,4752081,7,0
31,9,9,4896240,5,0
73,5,7,7261616,7,0
70,3,9,8894749,1,0
129,1,11,4729638,2,0
102,10,19,464815,8,0
106,6,7,3590649,9,0
84,5,17,2504836,9,0
86,7,13,7263328,7,0
49,15,17,6220885,6,0
61,5,8,3136823,8,0
68,14,5,9987018,5,0
76,11,19,3851297,7,0
111,3,16,4351758,2,0
114,2,14,5195459,5,0
31,4,13,10275086,5,0
83,14,3,2624886,8,0
54,10,4,237395,7,0
74,1,20,10310030,3,0
123,7,1,3543187,3,0
26,9,16,8014756,3,0
